Mountain,all,deaths,death_rate
Everest,5656,-223,3.94
K2,306,-81,26.47
Kangchenjunga,283,-40,14.13
Lhotse,461,-13,2.82
Makalu,361,-31,8.59
Cho Oyu,3138,-44,1.40
Dhaulagiri I,448,-69,15.40
Manaslu,661,-65,9.83
Nanga Parbat,335,-68,20.30
Annapurna I,191,-61,31.94
Gasherbrum I,334,-29,8.68
Broad Peak,404,-21,5.20
Gasherbrum II,930,-21,2.26
Shishapangma,302,-25,8.28
